section,dataset,variable,source,original_field,unit,frequency,transformation,missing_value_treatment,economic_interpretation,important_limitations
raw,china_repo_fixing_daily.csv,source_url,CFETS/ChinaMoney repo fixings,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,secid,Moscow Exchange ISS security descriptions,SECID,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,shortname,Moscow Exchange ISS security descriptions,SHORTNAME,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,contract_name,Moscow Exchange ISS security descriptions,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,asset_code,Moscow Exchange ISS security descriptions,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,first_trade_date,Moscow Exchange ISS security descriptions,FRSTTRADE,ISO date,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,last_trade_date,Moscow Exchange ISS security descriptions,LSTTRADE,ISO date,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,expiry_date,Moscow Exchange ISS security descriptions,LSTDELDATE,ISO date,contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,boardid,Moscow Exchange ISS security descriptions,BOARDID,"text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,decimals,Moscow Exchange ISS security descriptions,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,history_from,Moscow Exchange ISS security descriptions,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,history_till,Moscow Exchange ISS security descriptions,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,listed_from,Moscow Exchange ISS security descriptions,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,contracts.csv,listed_till,Moscow Exchange ISS security descriptions,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",contract metadata/as listed,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,BOARDID,Moscow Exchange ISS RUSFAR history,BOARDID,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,SECID,Moscow Exchange ISS RUSFAR history,SECID,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,TRADEDATE,Moscow Exchange ISS RUSFAR history,TRADEDATE,ISO date,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,SHORTNAME,Moscow Exchange ISS RUSFAR history,SHORTNAME,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,NAME,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,CLOSE,Moscow Exchange ISS RUSFAR history,CLOSE,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,OPEN,Moscow Exchange ISS RUSFAR history,OPEN,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,HIGH,Moscow Exchange ISS RUSFAR history,HIGH,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,LOW,Moscow Exchange ISS RUSFAR history,LOW,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,VALUE,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,DURATION,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series",dimensionless,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,YIELD,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,DECIMALS,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,CAPITALIZATION,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,CURRENCYID,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,DIVISOR,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,TRADINGSESSION,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,VOLUME,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,Trading flow or a transformation of trading flow.,Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,TRADE_SESSION_DATE,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,funding_daily.csv,RECALC_DATE,Moscow Exchange ISS RUSFAR history,"calculated, configured, or same-named source series",ISO date,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,BOARDID,Moscow Exchange ISS (original CNY/RUB core collector),BOARDID,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,TRADEDATE,Moscow Exchange ISS (original CNY/RUB core collector),TRADEDATE,ISO date,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,SECID,Moscow Exchange ISS (original CNY/RUB core collector),SECID,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,OPEN,Moscow Exchange ISS (original CNY/RUB core collector),OPEN,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,LOW,Moscow Exchange ISS (original CNY/RUB core collector),LOW,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,HIGH,Moscow Exchange ISS (original CNY/RUB core collector),HIGH,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,CLOSE,Moscow Exchange ISS (original CNY/RUB core collector),CLOSE,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,OPENPOSITIONVALUE,Moscow Exchange ISS (original CNY/RUB core collector),"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,VALUE,Moscow Exchange ISS (original CNY/RUB core collector),"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,VOLUME,Moscow Exchange ISS (original CNY/RUB core collector),"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,Trading flow or a transformation of trading flow.,Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,OPENPOSITION,Moscow Exchange ISS (original CNY/RUB core collector),"calculated, configured, or same-named source series","text, category, native source unit, or dimensionless as applicable",daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,SETTLEPRICE,Moscow Exchange ISS (original CNY/RUB core collector),"calculated, configured, or same-named source series",RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,"Direct field, documented selection hierarchy, or descriptive aggregation as indicated by the variable name.",Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,SWAPRATE,Moscow Exchange ISS (original CNY/RUB core collector),SWAPRATE,"text, category, native source unit, or dimensionless as applicable",daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Funding, repo, policy, or published lending-rate condition as identified by the source family.",Tenor matching and source family are proxies for marginal trader funding; inspect tenor distance and staleness.
raw,futures_daily.csv,WAPRICE,Moscow Exchange ISS (original CNY/RUB core collector),WAPRICE,RUB per unit of underlying currency (normalized); raw field where named *_raw,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Exchange, reference, or selected analytical price as identified by the field name.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
raw,futures_daily.csv,CHANGE,Moscow Exchange ISS (original CNY/RUB core collector),CHANGE,percent,daily,Renamed from the listed original field; numeric/date parsing only unless normalized prices are stated.,Retained as NA and never replaced by zero; see rejection/source flags where applicable.,"Identifier, descriptive market measure, validation field, or summary statistic as named.",Missing source observations remain NA; zeros are retained only when the source explicitly reports zero.
